C:\ICPMH\1\DATA\15J30l00.B\C3_A.D
Intensity Vs Time,CPS
Acquired      : Oct 30 2015  12:35:09 pm using AcqMethod 103015JF.m
Time [Sec],B11,Mg24,Mg25,Al27,Ca43,Ca44,Sr86,Sr87,Sr88,Ba138
0.348,140.00,566.68,550.01,6901.34,1366.72,25268.20,36606.15,66.67,100.00,60.00
0.686,60.00,266.67,175.00,8301.94,1400.06,20612.11,35102.98,200.00,33.33,0.00
1.024,140.00,566.68,525.01,5400.82,1633.41,20862.41,35804.44,0.00,0.00,40.00
1.362,200.00,333.34,400.00,6201.08,1266.71,22764.77,35036.17,166.67,166.67,0.00
1.700,160.00,700.01,275.00,6201.08,1333.38,24917.70,35503.81,0.00,266.67,0.00
2.038,80.00,266.67,475.01,6501.19,1066.70,22764.77,34234.53,66.67,33.33,0.00
2.376,60.00,400.00,500.01,7001.38,1133.37,24116.58,34267.93,166.67,100.00,0.00
2.714,100.00,500.01,250.00,10202.93,1433.39,25919.15,36372.32,0.00,100.00,40.00
3.052,160.00,300.00,575.01,5200.76,1200.04,23515.76,36505.93,0.00,100.00,0.00
3.390,260.00,433.34,425.01,7001.38,1300.05,24767.49,35136.38,0.00,33.33,0.00
3.728,200.00,433.34,325.00,6201.08,666.68,22314.20,33165.75,200.00,133.33,0.00
4.066,80.00,600.01,375.00,5100.73,1466.73,25668.78,33666.73,0.00,166.67,0.00
4.404,180.00,533.34,700.01,5900.98,1300.05,23015.10,33967.33,133.33,133.33,0.00
4.742,120.00,600.01,375.00,8902.23,1533.40,25067.92,36472.53,0.00,133.33,40.00
5.080,200.00,566.68,475.01,6201.08,1100.03,22714.71,34869.16,166.67,100.00,40.00
5.418,40.00,700.01,700.01,5000.70,1666.75,22364.26,33599.93,200.00,0.00,0.00
5.756,220.00,300.00,425.01,6601.23,1433.39,22914.97,33499.73,100.00,33.33,0.00
6.094,120.00,400.00,450.01,7801.71,1400.06,22814.84,35971.46,100.00,100.00,20.00
6.432,240.00,466.67,375.00,7301.50,1000.03,22814.84,34434.94,33.33,0.00,0.00
6.770,180.00,600.01,525.01,5800.95,1566.74,24316.86,36806.58,100.00,133.33,40.00
7.108,160.00,600.01,250.00,7801.71,1433.39,21613.32,34702.15,0.00,0.00,0.00
7.446,80.00,366.67,525.01,5100.73,1033.36,25168.06,34735.55,33.33,33.33,0.00
7.784,160.00,633.34,200.00,6101.05,1400.06,23365.57,36539.34,66.67,133.33,40.00
8.122,180.00,400.00,575.01,8802.18,1133.37,23565.83,39044.91,0.00,133.33,0.00
8.460,160.00,200.00,425.01,7401.54,1600.07,23916.30,37040.43,0.00,100.00,0.00
8.798,140.00,400.00,250.00,7901.76,1266.71,22714.71,34167.73,100.00,100.00,0.00
9.136,140.00,566.68,525.01,8201.89,966.69,18559.82,37040.43,66.67,66.67,20.00
9.475,40.00,466.67,525.01,5700.91,1666.75,20812.35,35203.18,100.00,0.00,0.00
9.813,240.00,433.34,300.00,10703.22,1333.38,22514.45,35971.46,0.00,33.33,20.00
10.151,180.00,200.00,525.01,9402.49,1700.08,21112.71,35503.81,0.00,66.67,100.00
10.489,200.00,600.01,325.00,4800.65,1200.04,21312.95,33265.95,0.00,33.33,0.00
10.827,80.00,500.01,500.01,7001.38,1166.71,22264.13,36672.96,66.67,66.67,0.00
11.165,60.00,433.34,450.01,6101.05,1700.08,22314.20,34501.74,66.67,33.33,20.00
11.503,40.00,766.68,300.00,6601.23,1566.74,21012.59,37374.48,0.00,133.33,0.00
11.841,140.00,466.67,100.00,7001.38,1900.10,23415.63,34869.16,66.67,100.00,0.00
12.179,180.00,800.02,350.00,7501.58,1233.38,21463.14,35169.78,166.67,133.33,40.00
12.517,100.00,533.34,300.00,7901.76,1400.06,23766.10,34935.96,33.33,133.33,40.00
12.855,180.00,466.67,350.00,6601.23,1233.38,21062.65,33165.75,66.67,33.33,40.00
13.193,40.00,500.01,350.00,5700.91,1466.73,23315.50,36138.48,0.00,66.67,20.00
13.531,140.00,766.68,625.01,5600.88,966.69,21913.69,31562.69,0.00,0.00,20.00
13.869,240.00,866.69,450.01,7801.71,1566.74,22764.77,34000.73,33.33,66.67,40.00
14.207,200.00,500.01,400.00,6901.34,1900.10,22164.01,34635.35,0.00,200.00,0.00
14.545,100.00,200.00,225.00,5200.76,1000.03,21262.89,34668.75,0.00,0.00,0.00
14.883,160.00,400.00,500.01,6101.05,1266.71,21162.77,35570.61,0.00,133.33,20.00
15.221,180.00,566.68,275.00,7901.76,1466.73,23766.10,37775.38,100.00,33.33,0.00
15.559,260.00,700.01,250.00,8802.18,1600.07,24617.28,36439.12,333.34,33.33,40.00
15.897,260.00,433.34,575.01,5300.79,1733.42,23816.17,33599.93,100.00,33.33,20.00
16.234,120.00,633.34,250.00,7601.63,1466.73,24166.65,37174.05,0.00,66.67,0.00
16.573,180.00,600.01,275.00,6801.30,1233.38,24767.49,35203.18,33.33,100.00,60.00
16.911,180.00,300.00,500.01,5900.98,1700.08,23165.30,35604.02,0.00,33.33,20.00
17.249,100.00,666.68,475.01,6401.15,1966.78,21262.89,36238.69,66.67,66.67,40.00
17.587,220.00,533.34,475.01,6601.23,1266.71,21062.65,33867.13,33.33,0.00,0.00
17.925,100.00,500.01,375.00,5700.91,1400.06,23215.36,35704.23,66.67,233.33,0.00
18.263,120.00,433.34,325.00,7701.67,1333.38,22914.97,36505.93,66.67,33.33,40.00
18.601,280.00,500.01,225.00,7501.58,1300.05,19260.58,31128.56,166.67,0.00,0.00
18.939,60.00,366.67,500.01,6901.34,1066.70,22314.20,35437.00,133.33,66.67,0.00
19.277,240.00,700.01,375.00,6001.01,1166.71,20261.70,34301.34,0.00,66.67,40.00
19.616,240.00,466.67,375.00,5900.98,1800.09,24517.14,32464.39,66.67,0.00,0.00
19.954,120.00,400.00,425.01,8902.23,1200.04,24817.56,35069.57,0.00,100.00,0.00
20.292,140.00,600.01,600.01,6601.23,1433.39,23615.90,36973.61,200.00,66.67,0.00
20.630,100.00,500.01,650.01,6901.34,1433.39,25418.42,33032.15,33.33,66.67,40.00
20.968,80.00,366.67,350.00,5900.98,1166.71,22063.88,35069.57,0.00,66.67,80.00
21.306,220.00,433.34,125.00,5200.76,1466.73,23315.50,35604.02,66.67,200.00,0.00
21.644,100.00,600.01,425.01,6101.05,1266.71,23916.30,35837.84,200.00,133.33,40.00
21.982,180.00,500.01,525.01,6701.26,1833.43,19761.13,35336.79,33.33,0.00,40.00
22.320,200.00,300.00,475.01,6701.26,2000.11,60554.43,34535.14,13605.46,55357.05,540.01
22.658,80.00,591388.36,99552.60,14105.60,102532.10,2243522.12,99155.81,188172.77,599119.28,3920.47
22.996,340.00,1829947.05,258741.83,13505.13,305063.06,4828167.30,156519.26,383219.80,1102828.80,5040.78
23.334,480.01,2551925.32,355795.42,10202.93,416827.39,7798970.49,189351.66,466469.09,1393857.58,4980.76
23.672,540.01,2847434.70,374396.13,11803.92,473505.45,8129881.43,204290.26,497397.28,1585864.49,5100.80
24.010,840.02,2901272.72,357453.16,8502.03,521161.70,8673212.69,208339.12,511645.71,1496418.13,5520.93
24.348,580.01,2219989.37,306948.71,12204.19,552567.92,8622491.60,193868.93,478840.51,1413230.24,5160.82
24.686,700.01,1993572.83,264678.16,10703.22,583616.09,9567371.31,207056.87,481926.22,1582124.64,5520.93
25.024,800.02,1875427.39,244213.75,9302.43,595230.09,9396874.43,196802.45,599145.52,1515283.50,4660.67
25.362,540.01,1576993.39,222911.99,8301.94,598126.19,9610772.87,206989.36,474898.55,1448342.48,4540.63
25.700,580.01,1553429.46,200346.07,8602.08,566536.34,9526886.93,186352.04,459858.60,1365016.83,4540.63
26.038,420.00,1318437.92,168165.56,9802.70,604264.53,9210236.92,188509.02,467222.76,1435255.63,4140.53
26.376,800.02,1102988.83,144610.00,8802.18,586613.68,10176621.32,187497.89,457769.83,1316565.78,3520.38
26.714,460.01,980490.91,131685.26,9102.33,590852.36,9437458.02,186318.31,437374.81,1304074.77,3400.35
27.052,500.01,876929.97,114517.18,8902.23,606713.62,9535727.56,184700.79,425443.24,1356677.63,4320.57
27.390,600.01,752391.94,101538.77,8802.18,625213.17,9153344.74,182173.65,437819.35,1345142.74,3620.40
27.728,540.01,658896.17,89876.31,8602.08,590542.27,9471093.96,181331.37,426878.75,1275732.19,3660.41
28.066,400.00,552537.19,72723.25,7801.71,596815.90,9272275.21,175874.30,442197.60,1198481.02,3200.31
28.404,720.01,525332.56,69209.28,9302.43,592334.52,9631092.40,175470.15,428895.42,1213424.77,3280.33
28.742,440.01,452952.26,59298.60,4400.55,586648.13,9567892.40,177726.81,446782.27,1219720.73,2660.22
29.080,320.00,424531.75,54508.33,7101.42,562062.51,9409514.27,177491.04,401468.66,1191192.47,3180.31
29.418,400.00,397689.62,49017.40,9202.38,575831.78,9006296.30,165133.74,401912.35,1174233.49,3380.35
29.757,600.01,339232.49,49092.60,7001.38,560651.77,9527893.18,167321.70,403755.38,1159572.55,3560.39
30.095,380.00,321474.45,45232.39,6501.19,590817.92,9117926.77,172405.59,413656.65,1131035.31,3520.38
30.433,400.00,298310.07,39443.65,8101.85,551329.83,8703403.32,171193.43,390755.74,1111147.42,3000.28
30.771,380.00,380146.20,38366.30,6001.01,560135.75,9105876.77,163720.12,403550.53,1122066.82,2720.23
31.109,580.01,272738.42,35234.84,6501.19,561064.60,9045371.30,166581.16,383083.44,1200196.38,2620.21
31.447,500.01,250887.49,32980.52,6301.12,589336.02,10519818.20,166513.79,389425.66,1143855.36,2820.24
31.785,440.01,241019.33,32980.52,7901.76,545312.74,9080037.70,170452.67,387345.45,1141005.62,3100.29
32.123,240.00,234195.89,30676.41,5500.85,554425.14,8707240.04,162946.08,382878.95,1087801.59,3440.36
32.461,560.01,230650.09,30225.64,10002.81,560135.75,9037281.45,161700.90,398772.76,1090322.94,2760.23
32.799,320.00,195870.82,26519.74,6301.12,569703.14,8404185.34,171227.10,378345.42,1122280.49,3220.32
33.137,580.01,194556.55,25768.64,7401.54,537854.37,8605549.41,160523.12,385708.67,1137337.40,3060.29
33.475,340.00,194489.13,28247.39,6901.34,549232.17,9157069.74,162003.76,384140.34,1118153.67,3080.29
33.813,660.01,182833.34,24842.32,7201.46,527651.38,8342587.69,159951.08,366591.12,1113850.16,3180.31
34.151,440.01,190108.92,36487.36,7301.50,519307.92,8477231.44,171058.73,353483.60,1123668.12,2640.21
34.489,400.00,172834.30,23039.90,8001.80,546137.77,8916171.29,162306.63,391369.67,1104428.15,2560.20
34.827,520.01,174719.21,25943.89,7201.46,547547.41,8798233.79,162407.62,394200.89,1108587.39,2760.23
35.165,480.01,175695.38,21362.81,5000.70,532597.57,8790901.76,160960.55,397407.85,1130750.55,2800.24
35.503,460.01,174348.95,25267.92,9002.28,545759.68,8743856.45,176009.02,390482.92,1161212.92,3560.39
35.841,420.00,401711.66,25843.74,7601.63,565951.25,9131417.39,168937.62,443326.57,1187013.70,3220.32
36.179,580.01,167988.27,23315.26,8001.80,533456.39,9072494.73,176682.65,383969.83,1113458.62,3160.31
36.517,400.00,155273.72,23941.09,5000.70,519410.92,9240681.46,156182.86,386117.85,1075200.02,2780.24
36.855,560.01,152920.12,19260.42,8101.85,530296.11,8451914.25,163619.18,376914.04,1136945.73,3020.28
37.193,480.01,156551.47,22539.26,7701.67,560823.84,9099432.23,167422.71,386595.22,1187085.05,3080.29
37.531,600.01,167752.71,21738.26,8502.03,554597.15,9191934.58,176716.33,396896.07,1123383.49,3400.35
37.869,700.01,247811.56,22138.76,7801.71,541703.46,9453245.52,163417.24,383526.64,1173876.46,3240.32
38.207,620.01,137495.19,19010.14,8301.94,542390.93,8310254.87,166244.53,379401.99,1119220.86,3380.35
38.545,500.01,148045.92,18859.99,4800.65,523049.98,9037002.55,163484.54,389152.81,1103788.31,3320.34
38.883,520.01,205646.72,58044.48,6601.23,586028.01,8387628.31,167052.41,391813.09,1070233.03,3160.31
39.221,440.01,133599.04,16707.84,8001.80,511345.68,8122207.99,170856.73,379572.40,1053816.04,2760.23
39.559,640.01,136285.95,34257.94,8001.80,513919.31,8346150.97,153727.23,377527.45,1108480.88,3000.28
39.897,540.01,180072.12,18334.44,4900.68,519445.26,8196756.43,161398.02,381344.90,1087908.29,2820.24
40.236,340.00,134740.95,21663.17,6001.01,522809.65,8309112.69,167086.07,356614.85,1133705.36,2600.21
40.574,540.01,137999.04,17883.98,5300.79,505547.96,8263892.37,187497.89,362947.24,1096361.61,2940.27
40.912,620.01,129871.64,17208.31,5900.98,544556.49,8083257.21,159244.47,369963.26,1096930.10,2440.18
41.250,580.01,135345.49,17033.15,6901.34,502941.25,8309131.44,163349.92,367851.38,1088050.15,2540.20
41.588,360.00,126816.41,27170.72,6201.08,494060.82,8071604.87,154534.51,356444.70,1098209.01,2860.25
41.926,580.01,186773.93,18609.72,5700.91,503867.33,8880729.10,160388.53,440042.56,1115343.64,2680.22
42.264,400.00,134237.15,25468.20,7201.46,490873.22,8480869.72,163417.24,394439.69,1062820.47,2380.17
42.602,520.01,134841.69,43628.40,6401.15,501295.16,8086119.71,156620.17,357567.98,1145600.81,2840.25
42.940,420.00,134942.45,18009.11,7301.50,510350.70,8106941.59,152482.72,428075.01,1038370.60,3640.41
43.278,440.01,125742.17,17733.83,7201.46,536308.12,7820941.58,157629.46,363083.44,1079849.24,3360.35
43.616,640.01,189334.09,18159.26,9602.59,488885.46,8149741.59,167860.34,391437.93,1103077.63,3040.28
43.954,820.02,140115.48,17258.36,5100.73,539160.20,9301391.61,182948.59,368430.41,1039362.07,3160.31
44.292,320.00,141963.35,23640.69,7401.54,488714.17,7964904.08,158605.18,352905.02,1092986.87,2720.23
44.630,520.01,155374.60,20336.61,7201.46,493752.29,8321901.75,157797.69,354947.05,1045453.86,2700.22
44.968,380.00,151037.52,20862.22,7401.54,461217.88,7806290.02,171866.85,361653.39,1081978.93,3320.34
45.306,660.01,151844.34,20687.01,6801.30,468781.07,7775068.92,156855.70,350625.07,1048784.07,3700.42
45.644,480.01,166709.67,23765.85,7201.46,488919.77,8052657.21,161869.14,392290.63,1111182.84,3020.28
45.982,620.01,243722.40,23365.32,5700.91,487000.82,7944156.43,162643.18,367578.85,1064274.24,2860.25
46.320,480.01,187481.29,25242.89,5800.95,473916.32,7735354.86,157091.18,345453.78,1076690.45,3120.30
46.658,540.01,225687.10,27546.30,6901.34,488063.06,7971590.02,158908.00,332940.21,1111467.34,3520.38
46.996,400.00,205916.49,32103.93,6701.26,492518.37,7837374.39,160994.21,395463.19,1074703.21,2820.24
47.334,580.01,221400.49,29624.63,6101.05,519857.14,8105476.74,155442.76,354096.17,1090109.79,3460.37
47.672,320.00,233925.69,28948.52,8001.80,476142.10,7515739.23,155711.88,355015.08,1034086.61,3140.30
48.010,380.00,339606.16,33957.36,5300.79,464913.49,7490260.32,161263.42,350386.89,1103717.21,3280.33
48.348,380.00,242674.89,32905.39,6001.01,467514.63,7564610.33,166244.53,354232.30,1060799.24,3540.38
48.686,460.01,259509.69,33281.08,6901.34,478128.36,7639704.86,163316.28,338787.80,1114347.81,3940.48
49.024,640.01,262925.90,36963.34,4900.68,476005.15,7665580.64,157293.05,356478.72,1064238.76,4240.55
49.362,500.01,282624.03,37238.91,6201.08,455436.40,9090293.95,165335.71,328759.74,1065728.28,3700.42
49.700,600.01,690458.22,41247.74,6601.23,507640.41,8307380.65,166715.78,334775.92,1116161.74,3960.48
50.038,320.00,402427.55,42550.79,7201.46,490222.05,7693021.27,191711.30,315647.21,1077258.36,3720.42
50.377,820.02,325818.92,44280.01,8802.18,506302.52,7551882.98,162878.76,302307.17,1124095.21,3860.46
50.715,640.01,357994.31,43753.71,5000.70,531635.72,7639760.33,170789.38,305734.48,1098529.06,2960.27
51.053,360.00,336345.22,63312.39,7501.58,534555.77,7634601.73,161633.58,307058.11,1080985.05,3440.36
51.391,480.01,365239.14,49493.71,6601.23,463784.19,7301729.07,172405.59,295929.34,1176945.73,3360.35
51.729,320.00,408803.59,50922.73,6601.23,460088.78,7315002.51,159379.06,300000.01,1111005.23,4400.59
52.067,400.00,384845.45,53756.04,5900.98,467548.84,7491210.32,156788.40,295657.98,1129362.26,3980.49
52.405,400.00,432588.81,68933.20,7601.63,490633.28,7381026.73,165537.67,292300.49,1102757.71,3760.43
52.743,300.00,400893.50,54734.02,7501.58,460704.67,7361725.16,166850.43,279385.26,1131248.98,3800.44
53.081,280.00,398541.68,55285.73,7601.63,616892.92,7557569.70,170520.01,276437.47,1112356.27,3960.48
53.418,720.01,415591.29,60803.66,7001.38,545243.96,7614040.01,185745.43,267021.54,1145387.13,4760.70
53.757,380.00,412725.82,61581.34,7001.38,484465.34,8755192.38,163585.52,257238.56,1113423.20,4500.62
54.095,520.01,411463.81,58194.97,8502.03,495637.74,8351086.91,156586.54,315273.67,1222798.07,3800.44
54.433,640.01,420743.47,57241.88,6201.08,463442.04,7510375.17,167321.70,250268.63,1142074.24,4600.65
54.771,540.01,429003.66,57116.49,7901.76,550538.88,7518029.86,171092.40,246243.59,1198695.34,4520.63
55.109,540.01,419480.87,62635.01,6501.19,466179.83,7413781.42,185644.34,237892.21,1117086.61,4040.50
55.447,380.00,410235.95,59072.85,8802.18,510522.28,7565609.54,165638.63,234106.68,1133598.72,4380.59
55.785,480.01,405223.22,67201.61,8201.89,460191.42,7405120.48,169812.98,233396.99,1236723.86,5000.77
56.123,360.00,412657.63,53705.89,5200.76,458207.11,9260343.18,166513.79,229747.60,1217073.33,3740.43
56.461,520.01,413373.94,55962.84,5900.98,444836.18,7478564.23,191171.91,223329.29,1155116.04,3780.44
56.799,640.01,418081.91,52452.16,6501.19,449622.60,7335278.29,189823.56,277555.51,1153262.53,4540.63
57.137,380.00,530001.12,55937.75,6501.19,456633.54,7415568.92,172169.89,224443.89,1174840.00,3720.42
57.475,480.01,398848.41,55712.05,7501.58,459301.90,9263701.77,171765.82,215968.09,1214211.62,4100.52
57.813,380.00,406382.50,52953.64,5300.79,453760.46,7051375.94,169678.31,206011.87,1200875.42,4000.49
58.151,340.00,410542.91,57793.67,5500.85,490907.47,7307986.88,170486.35,200007.21,1249728.80,3600.40
58.489,320.00,406553.00,57442.53,8702.13,439230.90,7150918.91,191407.90,195151.05,1182728.80,4200.54
58.827,500.01,416205.38,54984.79,7101.42,522672.31,7026847.81,203413.16,221978.37,1289772.16,4340.58
59.165,460.01,450080.87,59474.19,6801.30,441554.80,8300408.78,173550.54,210634.88,1163637.92,4140.53
59.503,440.01,444168.53,60828.76,4600.60,494986.34,7204322.04,166951.42,183926.53,1169559.14,4040.50
59.841,460.01,419992.75,57718.42,7001.38,432056.00,6851011.87,163484.54,182208.09,1240843.00,3500.38
60.179,340.00,481691.51,62133.25,7901.76,415018.66,6756342.34,166715.78,170823.72,1190978.15,4120.52
60.518,480.01,417774.81,56665.03,4300.52,449520.00,9637207.25,171395.45,167490.68,1162639.35,3760.43
60.856,480.01,483198.22,55912.68,5900.98,520578.04,6958321.25,172001.52,160624.63,1150268.65,3180.31
61.194,420.00,396803.52,50822.45,7701.67,422732.95,6837415.78,162407.62,163720.76,1156185.57,3560.39
61.532,260.00,396326.38,56439.33,3800.41,428332.98,8097828.31,169240.63,187195.38,1283845.99,4000.49
61.870,240.00,381508.15,54056.96,8502.03,507194.44,6984811.87,165806.94,154198.70,1128045.47,3720.42
62.208,300.00,440546.95,55285.73,6401.15,482512.71,6987369.69,162104.72,150633.50,1180086.75,3980.49
62.546,300.00,365851.47,52376.94,6501.19,416588.52,8241461.90,162744.14,145488.79,1259121.51,4140.53
62.884,460.01,352554.11,47262.66,8001.80,415155.12,7978643.15,166244.53,140648.16,1158574.24,2660.22
63.222,580.01,342595.97,48816.85,6601.23,430211.50,10191775.23,185307.33,179445.50,1150482.45,3460.37
63.560,260.00,418969.05,46961.86,6601.23,430313.94,6731925.93,166715.78,137589.90,1149734.14,3500.38
63.898,400.00,372146.59,49067.54,5700.91,407614.72,6678106.40,211815.13,132885.88,1195693.78,3500.38
64.236,560.01,327787.90,42250.08,7701.67,422015.96,6901652.50,179781.63,149153.81,1160143.12,3460.37
64.574,540.01,310787.28,38692.00,5500.85,410036.89,6710047.81,181904.07,125429.36,1168703.02,3200.31
64.912,440.01,372248.67,37765.02,8602.08,412527.55,6635083.74,188239.38,115895.14,1179015.91,3060.29
65.250,320.00,271350.80,49543.85,9302.43,413175.89,6698829.84,185880.20,118748.12,1157647.16,3260.33
65.588,280.00,263399.47,36762.93,5400.82,406147.93,7024307.97,174931.27,111700.42,1103148.72,3460.37
65.926,400.00,266714.95,41473.25,6501.19,410173.32,6532293.90,158638.84,128720.58,1098529.06,3640.41
66.264,660.01,252780.64,38241.03,5900.98,398679.57,6702157.18,156182.86,102878.14,1126408.23,3220.32
66.602,380.00,273923.02,32279.24,5800.95,420411.44,6500036.08,172540.30,113042.63,1158859.40,2880.25
66.940,520.01,268440.55,34383.18,6101.05,425464.43,6615478.27,163888.42,133927.39,1142359.27,3240.32
67.278,400.00,225923.44,36537.46,7901.76,397997.60,6419620.85,165369.36,121265.86,1087481.99,2840.25
67.616,440.01,226227.23,32078.87,7401.54,401304.99,6566289.99,172675.00,110962.28,1120003.41,2860.25
67.954,320.00,218700.80,35084.54,9402.49,390703.00,6792015.00,169914.00,103783.64,1145494.04,3120.30
68.292,400.00,205511.85,28047.08,8101.85,410241.55,6577980.62,187093.44,103112.90,1153262.53,2800.24
68.630,540.01,227982.74,27095.61,7301.50,386784.29,6386121.24,164393.25,102911.69,1613340.27,3240.32
68.968,260.00,199005.28,44580.75,6501.19,512409.45,6470522.41,195790.84,122373.80,1139930.36,2540.20
69.306,400.00,205444.41,32329.33,7801.71,421777.00,7151595.47,167523.70,104689.20,1271102.63,2800.24
69.644,380.00,198230.02,24792.25,5500.85,398099.91,7114557.19,161027.85,167759.96,1248223.73,2660.22
69.982,420.00,201297.48,26569.82,8802.18,386750.20,6113747.79,162071.06,103548.88,1177695.34,2680.22
70.320,200.00,190647.94,28322.51,8201.89,386852.38,6599417.34,163316.28,104756.26,1140507.06,3000.28
70.659,500.01,191894.55,24617.01,7301.50,391486.86,9274715.05,170250.65,102576.34,1127867.34,2800.24
70.997,300.00,193983.66,23815.92,7301.50,401577.78,6307432.17,209013.99,100966.69,1262743.78,3080.29
71.335,420.00,191254.38,34859.10,9002.28,480046.33,6109321.62,184801.86,100296.06,1115841.56,2460.19
71.673,600.01,183338.51,27020.49,5600.88,392543.43,6044954.82,162845.12,118580.27,1112391.82,2560.20
72.011,500.01,187178.13,24466.80,6101.05,383377.35,6216469.28,162676.83,104655.66,1156684.66,3280.33
72.349,100.00,254741.59,24491.84,7901.76,382014.79,6195355.22,158470.59,100363.12,1109902.89,2420.18
72.687,220.00,178051.96,24391.70,6901.34,383104.83,11421779.94,167860.34,111801.08,1123205.49,2580.20
73.025,180.00,221198.02,24566.94,7901.76,400827.68,6279836.47,167187.06,102777.53,1167454.45,3100.29
73.363,460.01,184483.58,27220.80,7501.58,455470.55,6072705.21,168802.95,98183.73,1120928.41,2380.17
73.701,500.01,171824.60,24717.15,6701.26,409832.14,6991672.03,162037.42,110022.84,1105850.15,2460.19
74.039,300.00,187548.65,34533.46,5900.98,381708.24,6031836.46,158638.84,98317.84,1131960.83,2880.25
74.377,300.00,178961.01,24341.63,6301.12,423825.50,5956388.02,154500.87,97680.84,1046587.46,2840.25
74.715,500.01,184786.67,27020.49,5600.88,377893.60,5964955.60,157764.07,98854.29,1080665.39,2740.23
75.053,400.00,168257.46,22614.36,6701.26,362371.20,5965495.45,157663.11,95702.94,1202841.17,2500.19
75.391,500.01,166709.67,22614.36,4900.68,379766.81,6185291.54,151137.42,96507.48,1058813.96,2780.24
75.729,340.00,166642.39,29624.63,4800.65,369620.13,10557191.64,158975.30,96239.30,1135556.93,2620.21
76.067,60.00,206085.08,20636.96,7701.67,355669.47,7569874.39,146362.47,94965.46,985548.52,2660.22
76.405,180.00,158737.36,21512.99,6201.08,329567.03,5769681.77,146396.10,90172.72,995224.18,2340.17
76.743,300.00,151945.19,19185.33,5700.91,333948.74,5122120.82,129828.60,74095.05,819433.94,2400.18
77.081,80.00,164018.22,18960.09,6101.05,237699.60,4122788.76,180084.85,58266.71,680996.50,2340.17
77.418,240.00,108730.78,13905.43,5900.98,253789.33,3273807.89,97546.53,50675.69,521650.14,1400.06
77.757,240.00,79376.43,9302.43,7201.46,126387.00,1868141.64,118714.24,27121.70,280403.65,660.01
78.095,300.00,36637.64,5250.77,7201.46,60805.20,923150.61,52547.98,10970.22,118614.18,340.00
78.433,260.00,18442.88,2275.15,7001.38,26653.57,369095.64,42586.76,6834.71,48603.02,80.00
78.771,40.00,7968.45,925.02,5100.73,8868.91,156344.18,38744.23,2266.82,19477.87,20.00
79.109,100.00,3733.72,775.02,8001.80,5934.34,66325.26,36171.88,1100.04,8468.78,80.00
79.447,80.00,1100.03,550.01,4700.62,4067.14,69738.47,35370.20,366.67,3500.36,0.00
79.785,220.00,1600.07,275.00,5200.76,2466.84,29625.02,35503.81,66.67,1166.71,0.00
80.123,280.00,1066.70,475.01,5100.73,1433.39,29524.85,33366.14,133.33,400.00,20.00
80.461,240.00,366.67,250.00,6601.23,1133.37,22464.38,33700.13,0.00,266.67,0.00
80.800,200.00,533.34,400.00,7201.46,1233.38,25318.27,33499.73,100.00,66.67,20.00
81.138,260.00,566.68,225.00,8001.80,1000.03,24417.00,33098.95,0.00,66.67,0.00
81.476,100.00,566.68,500.01,7201.46,1266.71,25518.56,34835.76,66.67,266.67,0.00
81.814,180.00,366.67,300.00,4700.62,1366.72,23315.50,35102.98,166.67,33.33,0.00
82.152,160.00,600.01,225.00,5700.91,1700.08,18509.77,32931.96,33.33,233.33,0.00
82.490,120.00,600.01,400.00,5300.79,1066.70,22414.32,37574.93,233.33,166.67,40.00
82.828,180.00,300.00,475.01,6301.12,1466.73,23615.90,34601.95,33.33,166.67,0.00
83.166,180.00,700.01,325.00,6401.15,1100.03,22364.26,35503.81,0.00,66.67,0.00
83.504,120.00,466.67,275.00,4300.52,1433.39,21212.83,32931.96,100.00,166.67,20.00
83.842,100.00,200.00,525.01,7001.38,1233.38,24366.93,33900.53,0.00,0.00,0.00
84.180,180.00,366.67,250.00,6301.12,533.34,21312.95,35470.41,133.33,33.33,0.00
84.518,300.00,700.01,375.00,7001.38,1800.09,25418.42,34334.74,0.00,100.00,0.00
84.856,40.00,566.68,375.00,5300.79,1866.77,20512.00,34501.74,200.00,0.00,0.00
85.194,140.00,400.00,400.00,7101.42,1600.07,24066.51,32764.97,66.67,200.00,60.00
85.532,60.00,633.34,325.00,6001.01,1266.71,22214.07,34835.76,233.33,66.67,0.00
85.870,120.00,300.00,750.02,6701.26,1433.39,25067.92,34802.36,166.67,100.00,20.00
86.208,120.00,533.34,425.01,5600.88,966.69,20612.11,34267.93,0.00,66.67,0.00
86.546,120.00,533.34,400.00,8502.03,900.02,24467.06,35737.63,0.00,33.33,40.00
86.884,100.00,166.67,400.00,5100.73,1600.07,22164.01,34267.93,0.00,0.00,40.00
87.222,240.00,666.68,450.01,7701.67,1433.39,21613.32,39445.84,66.67,66.67,20.00
87.560,260.00,400.00,525.01,6301.12,1266.71,23065.17,34267.93,66.67,0.00,0.00
87.898,60.00,366.67,450.01,6701.26,1166.71,22414.32,35537.21,33.33,0.00,0.00
88.236,160.00,200.00,600.01,5600.88,1000.03,21012.59,32865.16,0.00,100.00,0.00
88.574,60.00,433.34,350.00,5600.88,1333.38,23766.10,35570.61,0.00,133.33,20.00
88.912,80.00,633.34,325.00,5600.88,1266.71,24166.65,33833.73,100.00,33.33,0.00
89.250,80.00,466.67,350.00,9002.28,1100.03,20011.42,37541.53,66.67,33.33,40.00
